kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_count,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
5531953,K01681.02,Kepler-1984 b,CONFIRMED,CANDIDATE,0.329,0,0,0,0,1.992812339,7.83E-06,-7.83E-06,131.70565,3.07E-03,-3.07E-03,1.127,15.76,-0.104,2.066,0.177,-0.177,3.15E+02,2.28E+01,-2.28E+01,6.81,7.50E-01,-9.00E-01,675,,,48.82,16.18,-15.53,16.8,4,2,q1_q17_dr25_tce,3638,72,-87,4.844,0.049,-0.055,0.42,0.046,-0.056,291.285,40.730049,15.855
9837661,K02715.01,Kepler-1321 b,CONFIRMED,CANDIDATE,1,0,0,0,0,11.12827427,2.07E-05,-2.07E-05,139.54417,2.01E-03,-2.01E-03,0.594,0.24,-0.388,2.6118,0.0592,-0.0592,6.06E+03,1.03E+02,-1.03E+02,4.04,2.40E-01,-4.50E-01,408,,,6.52,1.47,-1.86,65.6,3,1,q1_q17_dr25_tce,3640,81,-90,4.744,0.056,-0.024,0.503,0.03,-0.056,294.52859,46.640968,16.835
9837661,K02715.02,Kepler-1321 c,CONFIRMED,CANDIDATE,1,0,0,0,0,2.226496196,5.32E-06,-5.32E-06,133.37195,2.58E-03,-2.58E-03,0.048,0.396,-0.048,1.7073,0.0513,-0.0513,1.84E+03,5.97E+01,-5.97E+01,2.1,1.30E-01,-2.30E-01,697,,,55.76,12.61,-15.92,36,3,2,q1_q17_dr25_tce,3640,81,-90,4.744,0.056,-0.024,0.503,0.03,-0.056,294.52859,46.640968,16.835
9837661,K02715.03,Kepler-1321 d,CONFIRMED,CANDIDATE,1,0,0,0,0,5.72084599,3.62E-05,-3.62E-05,134.66576,6.16E-03,-6.16E-03,0.166,0.305,-0.166,2.744,0.137,-0.137,1.32E+03,7.30E+01,-7.30E+01,1.78,1.10E-01,-2.00E-01,509,,,15.84,3.58,-4.52,20.5,3,3,q1_q17_dr25_tce,3640,81,-90,4.744,0.056,-0.024,0.503,0.03,-0.056,294.52859,46.640968,16.835
9823519,K02793.01,Kepler-1350 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.49686066,1.29E-05,-1.29E-05,134.20642,3.24E-03,-3.24E-03,0.018,0.432,-0.018,1.7306,0.0495,-0.0495,1.93E+03,5.82E+01,-5.82E+01,1.93,1.90E-01,-2.30E-01,535,,,19.34,5.64,-5.49,37,2,1,q1_q17_dr25_tce,3698,66,-73,4.81,0.055,-0.045,0.444,0.043,-0.053,288.25058,46.679611,16.283
9823519,K02793.02,Kepler-1350 c,CONFIRMED,CANDIDATE,0.999,0,0,0,0,1.766789509,6.77E-06,-6.77E-06,133.08336,4.50E-03,-4.50E-03,0.066,0.387,-0.065,1.3345,0.0577,-0.0577,1.01E+03,4.40E+01,-4.40E+01,1.4,1.40E-01,-1.70E-01,730,,,66.95,19.5,-19.01,26.7,2,2,q1_q17_dr25_tce,3698,66,-73,4.81,0.055,-0.045,0.444,0.043,-0.053,288.25058,46.679611,16.283
5080636,K01843.01,Kepler-974 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.194496867,5.59E-06,-5.59E-06,134.13511,1.14E-03,-1.14E-03,0.863,0.005,-0.625,1.7807,0.0343,-0.0343,6.61E+02,1.71E+01,-1.71E+01,1.57,9.00E-02,-1.20E-01,577,,,26.2,5.71,-5.91,45,2,1,q1_q17_dr25_tce,3706,73,-92,4.747,0.033,-0.033,0.522,0.032,-0.039,285.01309,40.220749,14.404
7455287,K00886.01,Kepler-54 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.01078456,1.06E-05,-1.06E-05,170.20739,1.06E-03,-1.06E-03,0.192,0.096,-0.192,2.312,0.0336,-0.0336,1.33E+03,2.93E+01,-2.93E+01,1.72,1.30E-01,-2.00E-01,453,,,9.9,2.52,-2.88,48.5,3,1,q1_q17_dr25_tce,3713,74,-92,4.779,0.063,-0.031,0.47,0.036,-0.054,294.77393,43.056301,15.847
7455287,K00886.02,Kepler-54 c,CONFIRMED,CANDIDATE,1,0,0,0,0,12.07134205,4.21E-05,-4.21E-05,143.45948,2.87E-03,-2.87E-03,0.014,0.518,-0.014,4.3224,0.0983,-0.0983,7.59E+02,2.64E+01,-2.64E+01,1.29,1.00E-01,-1.50E-01,395,,,5.74,1.46,-1.67,31,3,2,q1_q17_dr25_tce,3713,74,-92,4.779,0.063,-0.031,0.47,0.036,-0.054,294.77393,43.056301,15.847
7455287,K00886.03,Kepler-54 d,CONFIRMED,CANDIDATE,0.986,0,0,0,0,20.99587872,7.66E-05,-7.66E-05,152.31554,3.05E-03,-3.05E-03,0.228,0.176,-0.228,2.6333,0.0866,-0.0866,7.67E+02,4.29E+01,-4.29E+01,1.3,1.00E-01,-1.50E-01,328,,,2.74,0.7,-0.79,18.2,3,3,q1_q17_dr25_tce,3713,74,-92,4.779,0.063,-0.031,0.47,0.036,-0.054,294.77393,43.056301,15.847
8167996,K01867.01,Kepler-327 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.549562652,3.74E-06,-3.74E-06,132.60803,1.26E-03,-1.26E-03,0.047,0.377,-0.047,1.6999,0.0386,-0.0386,4.95E+02,1.29E+01,-1.29E+01,1.11,7.00E-02,-1.10E-01,682,,,50.9,11.06,-13.3,43.7,3,1,q1_q17_dr25_tce,3716,73,-83,4.74,0.056,-0.024,0.506,0.031,-0.051,292.64236,44.087669,15.018
8167996,K01867.02,Kepler-327 d,CONFIRMED,CANDIDATE,1,0,0,0,0,13.96950181,2.15E-05,-2.15E-05,132.17062,1.21E-03,-1.21E-03,0.901,0.038,-0.639,1.5871,0.0469,-0.0469,1.11E+03,3.46E+01,-3.46E+01,2.04,1.30E-01,-2.00E-01,387,,,5.29,1.15,-1.38,37,3,2,q1_q17_dr25_tce,3716,73,-83,4.74,0.056,-0.024,0.506,0.031,-0.051,292.64236,44.087669,15.018
8167996,K01867.03,Kepler-327 c,CONFIRMED,CANDIDATE,1,0,0,0,0,5.21230171,1.31E-05,-1.31E-05,132.71052,2.03E-03,-2.03E-03,0.187,0.254,-0.187,2.098,0.0639,-0.0639,4.30E+02,1.62E+01,-1.62E+01,1.04,6.00E-02,-1.10E-01,537,,,19.7,4.28,-5.15,29.3,3,3,q1_q17_dr25_tce,3716,73,-83,4.74,0.056,-0.024,0.506,0.031,-0.051,292.64236,44.087669,15.018
6609270,K03090.01,Kepler-1902 b,CONFIRMED,CANDIDATE,0.614,0,0,0,0,3.82223397,2.23E-05,-2.23E-05,132.14965,5.93E-03,-5.93E-03,0.725,0.215,-0.513,1.924,0.118,-0.118,3.63E+02,2.62E+01,-2.62E+01,1.05,6.00E-02,-7.00E-02,601,,,30.84,6.44,-6.13,15.9,2,1,q1_q17_dr25_tce,3729,75,-67,4.733,0.039,-0.021,0.514,0.029,-0.037,292.73764,42.014832,15.665
9787239,K00952.01,Kepler-32 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.90127815,7.03E-06,-7.03E-06,171.40674,8.84E-04,-8.84E-04,0.03,0.288,-0.03,2.1979,0.0307,-0.0307,1.53E+03,2.89E+01,-2.89E+01,1.94,1.30E-01,-2.00E-01,514,,,16.54,3.85,-4.36,56.6,5,1,q1_q17_dr25_tce,3731,73,-83,4.75,0.052,-0.028,0.498,0.034,-0.051,297.84241,46.574268,15.801
9787239,K00952.02,Kepler-32 c,CONFIRMED,CANDIDATE,1,0,0,0,0,8.75209691,1.31E-05,-1.31E-05,170.63671,1.18E-03,-1.18E-03,0.017,0.317,-0.017,2.3742,0.0384,-0.0384,1.37E+03,3.25E+01,-3.25E+01,1.83,1.30E-01,-1.90E-01,451,,,9.76,2.27,-2.58,44.8,5,3,q1_q17_dr25_tce,3731,73,-83,4.75,0.052,-0.028,0.498,0.034,-0.051,297.84241,46.574268,15.801
9787239,K00952.03,Kepler-32 d,CONFIRMED,CANDIDATE,1,0,0,0,0,22.78078241,3.95E-05,-3.95E-05,155.20408,1.38E-03,-1.38E-03,0.008,0.283,-0.008,3.3002,0.0449,-0.0449,1.93E+03,4.23E+01,-4.23E+01,2.17,1.50E-01,-2.20E-01,328,,,2.73,0.63,-0.72,46.4,5,2,q1_q17_dr25_tce,3731,73,-83,4.75,0.052,-0.028,0.498,0.034,-0.051,297.84241,46.574268,15.801
9787239,K00952.04,Kepler-32 e,CONFIRMED,CANDIDATE,0.968,0,0,0,0,2.896005211,4.32E-06,-4.32E-06,133.61228,1.18E-03,-1.18E-03,0.082,0.256,-0.082,1.6776,0.0345,-0.0345,6.14E+02,2.32E+01,-2.32E+01,1.23,8.00E-02,-1.30E-01,652,,,42.53,9.92,-11.21,28.6,5,4,q1_q17_dr25_tce,3731,73,-83,4.75,0.052,-0.028,0.498,0.034,-0.051,297.84241,46.574268,15.801
9787239,K00952.05,Kepler-32 f,CONFIRMED,CANDIDATE,0.996,0,0,0,0,0.742957911,2.30E-07,-2.30E-07,133.27936,2.28E-04,-2.28E-04,0.162,0.162,-0.161,0.6688,0.051,-0.051,8.43E+02,1.36E+01,-1.36E+01,1.47,1.00E-01,-1.50E-01,1026,,,262.51,61.21,-69.21,45.3,5,5,q1_q17_dr25_tce,3731,73,-83,4.75,0.052,-0.028,0.498,0.034,-0.051,297.84241,46.574268,15.801
4725681,K00817.01,Kepler-236 c,CONFIRMED,CANDIDATE,1,0,0,0,0,23.96793669,9.25E-05,-9.25E-05,186.22182,3.05E-03,-3.05E-03,0.416,0.053,-0.416,3.827,0.113,-0.113,1.18E+03,4.61E+01,-4.61E+01,1.8,1.00E-01,-1.50E-01,329,,,2.77,0.58,-0.64,27.5,2,1,q1_q17_dr25_tce,3747,75,-83,4.728,0.042,-0.025,0.524,0.03,-0.044,283.86639,39.898079,15.414
4725681,K00817.02,Kepler-236 b,CONFIRMED,CANDIDATE,0.995,0,0,0,0,8.29561738,2.37E-05,-2.37E-05,135.79284,2.19E-03,-2.19E-03,0.888,0.062,-0.612,1.3421,0.0773,-0.0773,8.24E+02,5.75E+01,-5.75E+01,1.82,1.00E-01,-1.50E-01,469,,,11.39,2.4,-2.65,17.9,2,2,q1_q17_dr25_tce,3747,75,-83,4.728,0.042,-0.025,0.524,0.03,-0.044,283.86639,39.898079,15.414
8874090,K01404.01,Kepler-834 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,13.32389352,4.72E-05,-4.72E-05,135.24585,2.65E-03,-2.65E-03,0.073,0.351,-0.073,3.2208,0.0921,-0.0921,7.81E+02,3.31E+01,-3.31E+01,1.26,2.30E-01,-3.10E-01,378,,,4.83,3.64,-2.66,25.9,2,1,q1_q17_dr25_tce,3751,219,-219,4.813,0.104,-0.085,0.45,0.082,-0.11,287.05453,45.18037,15.931
8120608,K00571.01,Kepler-186 c,CONFIRMED,CANDIDATE,1,0,0,0,0,7.26731094,1.13E-05,-1.13E-05,174.31292,1.26E-03,-1.26E-03,0.043,0.351,-0.043,2.2691,0.0434,-0.0434,6.59E+02,1.54E+01,-1.54E+01,1.14,1.10E-01,-1.30E-01,464,,,10.93,3.13,-3.19,47.8,5,1,q1_q17_dr25_tce,3751,75,-84,4.8,0.065,-0.035,0.443,0.04,-0.053,298.65271,43.955021,14.625
8120608,K00571.02,Kepler-186 d,CONFIRMED,CANDIDATE,1,0,0,0,0,13.3430025,2.57E-05,-2.57E-05,176.90387,1.46E-03,-1.46E-03,0.517,0.369,-0.3,2.7399,0.0582,-0.0582,8.00E+02,1.89E+01,-1.89E+01,1.29,1.20E-01,-1.60E-01,379,,,4.87,1.4,-1.42,47.1,5,2,q1_q17_dr25_tce,3751,75,-84,4.8,0.065,-0.035,0.443,0.04,-0.053,298.65271,43.955021,14.625
8120608,K00571.03,Kepler-186 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.886795001,6.84E-06,-6.84E-06,133.32959,1.37E-03,-1.37E-03,0.119,0.315,-0.119,1.7574,0.0454,-0.0454,4.71E+02,1.31E+01,-1.31E+01,0.97,9.00E-02,-1.20E-01,571,,,25.26,7.24,-7.38,41.8,5,3,q1_q17_dr25_tce,3751,75,-84,4.8,0.065,-0.035,0.443,0.04,-0.053,298.65271,43.955021,14.625
8120608,K00571.04,Kepler-186 e,CONFIRMED,CANDIDATE,0.999,0,0,0,0,22.40777833,7.39E-05,-7.39E-05,153.79858,2.59E-03,-2.59E-03,0.147,0.291,-0.147,3.2881,0.0756,-0.0756,6.61E+02,2.08E+01,-2.08E+01,1.15,1.00E-01,-1.40E-01,319,,,2.44,0.7,-0.71,33.9,5,4,q1_q17_dr25_tce,3751,75,-84,4.8,0.065,-0.035,0.443,0.04,-0.053,298.65271,43.955021,14.625
8120608,K00571.05,Kepler-186 f,CONFIRMED,CANDIDATE,0.677,0,0,0,0,129.945392,1.56E-03,-1.56E-03,176.82285,8.82E-03,-8.82E-03,0.909,0.04,-0.695,5.786,0.293,-0.293,5.00E+02,4.04E+01,-4.04E+01,1.18,1.10E-01,-1.40E-01,177,,,0.23,0.07,-0.06,13.1,5,5,q1_q17_dr25_tce,3751,75,-84,4.8,0.065,-0.035,0.443,0.04,-0.053,298.65271,43.955021,14.625
6382217,K02036.01,Kepler-353 c,CONFIRMED,CANDIDATE,0.978,0,0,0,0,8.41100305,2.33E-05,-2.33E-05,133.79856,2.34E-03,-2.34E-03,0.905,0.005,-0.626,2.4553,0.0621,-0.0621,7.56E+02,3.07E+01,-3.07E+01,1.8,9.00E-02,-1.30E-01,472,,,11.71,2.42,-2.45,27.6,2,1,q1_q17_dr25_tce,3757,75,-83,4.718,0.039,-0.024,0.539,0.03,-0.038,296.85663,41.758179,15.773
6382217,K02036.02,Kepler-353 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.79529495,3.62E-05,-3.62E-05,136.77974,5.46E-03,-5.46E-03,0.714,0.236,-0.493,2.272,0.147,-0.147,3.34E+02,2.60E+01,-2.60E+01,1.05,6.00E-02,-7.00E-02,534,,,19.23,3.97,-4.03,14.8,2,2,q1_q17_dr25_tce,3757,75,-83,4.718,0.039,-0.024,0.539,0.03,-0.038,296.85663,41.758179,15.773
11752906,K00253.02,Kepler-2000 c,CONFIRMED,CANDIDATE,0.993,0,0,0,0,20.6180348,1.38E-04,-1.38E-04,145.51232,4.64E-03,-4.64E-03,0.155,0.314,-0.155,3.267,0.185,-0.185,7.70E+02,5.21E+01,-5.21E+01,1.57,6.00E-02,-1.00E-01,359,,,3.92,0.65,-0.76,16.3,2,2,q1_q17_dr25_tce,3757,74,-82,4.681,0.039,-0.015,0.576,0.022,-0.036,285.57434,49.962269,15.254
11752906,K00253.01,Kepler-2000 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.383159135,6.40E-06,-6.40E-06,170.604622,7.44E-04,-7.44E-04,0.197,0.237,-0.197,1.7504,0.0334,-0.0334,2.31E+03,4.08E+01,-4.08E+01,2.73,1.00E-01,-1.70E-01,530,,,18.73,3.1,-3.66,64.4,2,1,q1_q17_dr25_tce,3757,74,-82,4.681,0.039,-0.015,0.576,0.022,-0.036,285.57434,49.962269,15.254
8890150,K02650.01,Kepler-395 c,CONFIRMED,CANDIDATE,0.985,0,0,0,0,34.9897847,3.80E-04,-3.80E-04,144.20912,9.70E-03,-9.70E-03,0.034,0.422,-0.034,4.208,0.235,-0.235,4.99E+02,4.72E+01,-4.72E+01,1.14,7.00E-02,-1.00E-01,292,,,1.71,0.35,-0.42,11.5,2,1,q1_q17_dr25_tce,3765,75,-83,4.725,0.049,-0.021,0.521,0.029,-0.047,293.51108,45.136589,15.987
8890150,K02650.02,Kepler-395 b,CONFIRMED,CANDIDATE,0.983,0,0,0,0,7.05429483,4.13E-05,-4.13E-05,136.18961,5.19E-03,-5.19E-03,0.48,0.048,-0.417,1.716,0.171,-0.171,3.59E+02,3.92E+01,-3.92E+01,1,6.00E-02,-9.00E-02,497,,,14.46,2.98,-3.51,11.2,2,2,q1_q17_dr25_tce,3765,75,-83,4.725,0.049,-0.021,0.521,0.029,-0.047,293.51108,45.136589,15.987
7021681,K00255.01,Kepler-505 b,CONFIRMED,CANDIDATE,1,0,0,0,0,27.52194772,3.06E-05,-3.06E-05,189.824523,8.08E-04,-8.08E-04,0.35,0.052,-0.35,4.047,0.0415,-0.0415,2.31E+03,2.41E+01,-2.41E+01,2.47,1.70E-01,-2.10E-01,314,,,2.28,0.56,-0.53,106.5,3,1,q1_q17_dr25_tce,3780,76,-83,4.746,0.042,-0.031,0.511,0.036,-0.043,287.85812,42.542629,15.108
10166274,K01078.01,Kepler-267 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.353732008,4.00E-06,-4.00E-06,134.869597,9.45E-04,-9.45E-04,0.051,0.363,-0.051,1.4598,0.0346,-0.0346,1.26E+03,3.09E+01,-3.09E+01,1.65,1.20E-01,-1.90E-01,615,,,33.76,8.53,-9.54,47.8,3,1,q1_q17_dr25_tce,3789,75,-82,4.781,0.063,-0.031,0.46,0.035,-0.053,299.83041,47.157459,15.438
10166274,K01078.02,Kepler-267 c,CONFIRMED,CANDIDATE,0.99,0,0,0,0,6.877446033,8.89E-06,-8.89E-06,132.08426,1.07E-03,-1.07E-03,0.79,0.01,-0.555,1.3692,0.0435,-0.0435,1.63E+03,4.92E+01,-4.92E+01,2.05,1.60E-01,-2.40E-01,484,,,12.95,3.27,-3.66,39.6,3,2,q1_q17_dr25_tce,3789,75,-82,4.781,0.063,-0.031,0.46,0.035,-0.053,299.83041,47.157459,15.438
10166274,K01078.03,Kepler-267 d,CONFIRMED,CANDIDATE,0.992,0,0,0,0,28.46464804,8.81E-05,-8.81E-05,158.03986,2.54E-03,-2.54E-03,0.035,0.395,-0.035,2.6657,0.0806,-0.0806,1.63E+03,6.03E+01,-6.03E+01,1.87,1.40E-01,-2.20E-01,301,,,1.95,0.49,-0.55,28.9,3,3,q1_q17_dr25_tce,3789,75,-82,4.781,0.063,-0.031,0.46,0.035,-0.053,299.83041,47.157459,15.438
10489206,K00251.01,Kepler-125 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.164384505,2.16E-06,-2.16E-06,171.087935,3.91E-04,-3.91E-04,0.59,0.056,-0.429,1.8464,0.028,-0.028,2.34E+03,2.08E+01,-2.08E+01,2.54,1.90E-01,-2.10E-01,590,,,28.75,7.06,-6.62,132.1,2,1,q1_q17_dr25_tce,3808,76,-84,4.754,0.036,-0.036,0.508,0.037,-0.042,298.25812,47.604939,14.752
10489206,K00251.02,Kepler-125 c,CONFIRMED,CANDIDATE,0.997,0,0,0,0,5.77440326,3.06E-05,-3.06E-05,132.96695,4.55E-03,-4.55E-03,0.425,0.515,-0.227,1.768,0.127,-0.127,2.45E+02,2.35E+01,-2.35E+01,0.8,6.00E-02,-6.00E-02,529,,,18.6,4.57,-4.29,11.8,2,2,q1_q17_dr25_tce,3808,76,-84,4.754,0.036,-0.036,0.508,0.037,-0.042,298.25812,47.604939,14.752
10670119,K02179.01,Kepler-369 c,CONFIRMED,CANDIDATE,0.998,0,0,0,0,14.87149773,4.90E-05,-4.90E-05,137.69573,3.03E-03,-3.03E-03,0.018,0.432,-0.018,2.4076,0.0741,-0.0741,9.45E+02,3.76E+01,-3.76E+01,1.59,1.20E-01,-1.00E-01,391,,,5.51,1.35,-1.1,27.3,2,1,q1_q17_dr25_tce,3825,76,-84,4.749,0.028,-0.044,0.524,0.038,-0.034,293.67422,47.908459,15.673
10670119,K02179.02,Kepler-369 b,CONFIRMED,CANDIDATE,0.992,0,0,0,0,2.732767897,5.91E-06,-5.91E-06,354.09581,1.45E-03,-1.45E-03,0.748,0.17,-0.517,1.1102,0.0521,-0.0521,6.13E+02,2.72E+01,-2.72E+01,1.42,1.00E-01,-1.00E-01,687,,,52.68,12.88,-10.53,27,2,2,q1_q17_dr25_tce,3825,76,-84,4.749,0.028,-0.044,0.524,0.038,-0.034,293.67422,47.908459,15.673
5364071,K00248.01,Kepler-49 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.203855862,5.92E-06,-5.92E-06,170.285731,6.52E-04,-6.52E-04,0.037,0.259,-0.037,2.5418,0.0226,-0.0226,1.77E+03,1.92E+01,-1.92E+01,2.25,1.30E-01,-1.70E-01,509,,,15.87,3.28,-3.47,101.1,4,1,q1_q17_dr25_tce,3834,77,-84,4.708,0.045,-0.021,0.539,0.03,-0.041,292.29459,40.591789,15.264
5364071,K00248.02,Kepler-49 c,CONFIRMED,CANDIDATE,1,0,0,0,0,10.91274065,1.47E-05,-1.47E-05,169.85247,1.05E-03,-1.05E-03,0.685,0.192,-0.459,2.1801,0.0445,-0.0445,1.39E+03,2.65E+01,-2.65E+01,2.13,1.20E-01,-1.60E-01,443,,,9.12,1.88,-2,57.4,4,3,q1_q17_dr25_tce,3834,77,-84,4.708,0.045,-0.021,0.539,0.03,-0.041,292.29459,40.591789,15.264
5364071,K00248.03,Kepler-49 d,CONFIRMED,CANDIDATE,1,0,0,0,0,2.576571021,1.95E-06,-1.95E-06,172.126911,6.17E-04,-6.17E-04,0.187,0.096,-0.187,1.5997,0.0187,-0.0187,8.53E+02,1.46E+01,-1.46E+01,1.57,9.00E-02,-1.20E-01,717,,,62.42,12.91,-13.65,63.6,4,2,q1_q17_dr25_tce,3834,77,-84,4.708,0.045,-0.021,0.539,0.03,-0.041,292.29459,40.591789,15.264
