pl_name,hostname,k2_name,epic_hostname,default_flag,disposition,disp_refname,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
K2-384 f,K2-384,K2-384 f,EPIC 220221272,0,CONFIRMED,Christiansen et al. 2022,5,Transit,2022,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RNAAS...3...43Z/abstract target=ref>Zink et al. 2019</a>,13.6274,0.0012,-0.0019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,<a refstr=ZINK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RNAAS...3...43Z/abstract target=ref>Zink et al. 2019</a>,,3860,,,0,0.26,0.03,-0.03,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20.4998403,0.7509701,82.6603,0.7023,-0.6908,16.12,0.2,-0.2,11.294,0.021,-0.021,15.0276,0.000667,-0.000667,9/19/19,2019-02,9/19/19
K2-384 f,K2-384,K2-384 f,EPIC 220221272,0,CONFIRMED,Christiansen et al. 2022,5,Transit,2022,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,13.62757,0.00092,-0.00069,0,,,,,1.78,0.36,-0.3,0,,,,,,,,,,,,,,,,,,,,,,0,0.437,0.02,-0.023,0,2.16,0.12,-0.168,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.26,0.05,-0.03,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20.4998403,0.7509701,82.6603,0.7023,-0.6908,16.12,0.2,-0.2,11.294,0.021,-0.021,15.0276,0.000667,-0.000667,9/5/19,2019-09,9/5/19
K2-146 b,K2-146,K2-146 b,EPIC 211924657,1,CONFIRMED,Hirano et al. 2018,2,Transit,2018,K2,Published Confirmed,0,<a refstr=HAMANN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..133H/abstract target=ref>Hamann et al. 2019</a>,2.6446,0.00006,-0.00006,0,,,,,2.05,0.06,-0.06,0,5.77,0.18,-0.18,0,0.01816,0.00024,-0.00024,0,Mass,0.129,0.019,-0.019,0,,,,,,,,,1,,,,,,,,,<a refstr=HAMANN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..133H/abstract target=ref>Hamann et al. 2019</a>,,3385,70,-70,0,0.33,0.01,-0.01,0,0.33,0.01,-0.01,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,130.0266951,19.0923416,79.3002,0.478,-0.4723,16.7,0.2,-0.2,11.37,0.023,-0.023,14.9834,0.000523,-0.000523,8/9/19,2019-09,8/15/19
K2-146 b,K2-146,K2-146 b,EPIC 211924657,0,CONFIRMED,Hirano et al. 2018,2,Transit,2018,K2,Published Candidate,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,2.64484,0.00011,-0.00011,0,,,,,1.83,0.25,-0.21,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3359,157,-157,0,0.33,0.01,-0.01,0,0.31,0.02,-0.02,0,,,,,,4.9,0,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,130.0266951,19.0923416,79.3002,0.478,-0.4723,16.7,0.2,-0.2,11.37,0.023,-0.023,14.9834,0.000523,-0.000523,12/14/17,2017-11,12/14/17
K2-146 b,K2-146,K2-146 b,EPIC 211924657,0,CONFIRMED,Hirano et al. 2018,2,Transit,2018,K2,Published Candidate,0,<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>,2.645,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.2365,,,0,1.404,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3359,157,-157,0,0.33,0.01,-0.01,0,0.31,0.02,-0.02,0,,,,,,4.9,0,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,130.0266951,19.0923416,79.3002,0.478,-0.4723,16.7,0.2,-0.2,11.37,0.023,-0.023,14.9834,0.000523,-0.000523,7/18/16,2016-10,7/18/16
K2-146 b,K2-146,K2-146 b,EPIC 211924657,0,CONFIRMED,Hirano et al. 2018,2,Transit,2018,K2,Published Confirmed,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,2.644661,0.000132,-0.00013,0,0.0259,0.0002,-0.0002,0,2.15,0.86,-0.86,0,,,,,,,,,,,,,,,,,,534,10,-10,0,1,,,,,,,,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,3398,47,-47,0,0.33,0.01,-0.01,0,0.33,0.01,-0.01,0,-0.01,0.15,-0.15,0,[Fe/H],4.92,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,130.0266951,19.0923416,79.3002,0.478,-0.4723,16.7,0.2,-0.2,11.37,0.023,-0.023,14.9834,0.000523,-0.000523,8/9/19,2018-12,10/26/18
K2-146 c,K2-146,K2-146 c,EPIC 211924657,1,CONFIRMED,Hamann et al. 2019,2,Transit,2019,K2,Published Confirmed,0,<a refstr=HAMANN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..133H/abstract target=ref>Hamann et al. 2019</a>,4.00498,0.00011,-0.00011,0,,,,,2.19,0.07,-0.07,0,7.49,0.24,-0.24,0,0.02358,0.00031,-0.00031,0,Mass,0.075,0.016,-0.016,0,,,,,,,,,1,,,,,,,,,<a refstr=HAMANN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..133H/abstract target=ref>Hamann et al. 2019</a>,,3385,70,-70,0,0.33,0.01,-0.01,0,0.33,0.01,-0.01,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,130.0266951,19.0923416,79.3002,0.478,-0.4723,16.7,0.2,-0.2,11.37,0.023,-0.023,14.9834,0.000523,-0.000523,8/9/19,2019-09,8/15/19
K2-72 b,K2-72,K2-72 b,EPIC 206209135,1,CONFIRMED,Crossfield et al. 2016,4,Transit,2016,K2,Published Confirmed,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,5.577212,0.000417,-0.000419,0,0.04,0.004,-0.005,0,1.08,0.11,-0.11,0,,,,,,,,,,0.11,0.196982,-0.087659,0,8.5,1.2,-1.1,0,,,,,0,,,,,,,,,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,,3360.47,87.24,-86.34,0,0.33,0.03,-0.03,0,0.27,0.08,-0.09,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,334.6227504,-9.6120084,66.4321,0.2003,-0.1991,15.37,0.126,-0.126,10.962,0.021,-0.021,14.2789,0.000527,-0.000527,12/12/17,2017-11,10/26/17
K2-72 c,K2-72,K2-72 c,EPIC 206209135,1,CONFIRMED,Crossfield et al. 2016,4,Transit,2016,K2,Published Confirmed,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,15.189034,0.003128,-0.003149,0,0.078,0.007,-0.01,0,1.16,0.13,-0.13,0,,,,,,,,,,0.11,0.20197,-0.091536,0,2.2,0.3,-0.3,0,,,,,0,,,,,,,,,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,,3360.47,87.24,-86.34,0,0.33,0.03,-0.03,0,0.27,0.08,-0.09,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,334.6227504,-9.6120084,66.4321,0.2003,-0.1991,15.37,0.126,-0.126,10.962,0.021,-0.021,14.2789,0.000527,-0.000527,12/12/17,2017-11,10/26/17
K2-72 d,K2-72,K2-72 d,EPIC 206209135,1,CONFIRMED,Crossfield et al. 2016,4,Transit,2016,K2,Published Confirmed,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,7.760178,0.001496,-0.001496,0,0.05,0.004,-0.006,0,1.01,0.12,-0.12,0,,,,,,,,,,0.11,0.207832,-0.09233,0,5.4,0.8,-0.7,0,,,,,0,,,,,,,,,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,,3360.47,87.24,-86.34,0,0.33,0.03,-0.03,0,0.27,0.08,-0.09,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,334.6227504,-9.6120084,66.4321,0.2003,-0.1991,15.37,0.126,-0.126,10.962,0.021,-0.021,14.2789,0.000527,-0.000527,12/12/17,2017-11,10/26/17
K2-72 e,K2-72,K2-72 e,EPIC 206209135,1,CONFIRMED,Crossfield et al. 2016,4,Transit,2016,K2,Published Confirmed,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,24.158868,0.003726,-0.00385,0,0.106,0.009,-0.013,0,1.29,0.14,-0.13,0,,,,,,,,,,0.11,0.198676,-0.086832,0,1.2,0.2,-0.2,0,,,,,0,,,,,,,,,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,,3360.47,87.24,-86.34,0,0.33,0.03,-0.03,0,0.27,0.08,-0.09,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,334.6227504,-9.6120084,66.4321,0.2003,-0.1991,15.37,0.126,-0.126,10.962,0.021,-0.021,14.2789,0.000527,-0.000527,12/12/17,2017-11,10/26/17
K2-146 b,K2-146,K2-146 b,EPIC 211924657,0,CONFIRMED,Hirano et al. 2018,2,Transit,2018,K2,Published Confirmed,0,<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>,2.644646,0.000043,-0.000043,0,0.0266,0.001,-0.001,0,2.2,0.23,-0.23,0,,,,,,,,,,,,,,20.7,4.8,-4.8,0,,,,,1,,,,,,,,,<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>,M3.0 V,3385,70,-70,0,0.35,0.04,-0.04,0,0.36,0.04,-0.04,0,-0.02,0.12,-0.12,0,[Fe/H],4.91,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,130.0266951,19.0923416,79.3002,0.478,-0.4723,16.7,0.2,-0.2,11.37,0.023,-0.023,14.9834,0.000523,-0.000523,8/9/19,2018-03,2/1/18
K2-146 b,K2-146,K2-146 b,EPIC 211924657,0,CONFIRMED,Hirano et al. 2018,2,Transit,2018,K2,Published Confirmed,0,<a refstr=LAM_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..120L/abstract target=ref>Lam et al. 2020</a>,2.6698,0.0001,-0.0001,0,0.0248,0.0002,-0.0002,0,2.25,0.1,-0.1,0,5.6,0.7,-0.7,0,0.01762,0.0022,-0.0022,0,Mass,0.14,0.07,-0.07,0,,,,,,,,,1,,,,,,,,,<a refstr=LAM_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..120L/abstract target=ref>Lam et al. 2020</a>,M3.0 V,3385,70,-70,0,0.35,0.04,-0.04,0,0.36,0.04,-0.04,0,-0.02,0.12,-0.12,0,[Fe/H],4.91,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,130.0266951,19.0923416,79.3002,0.478,-0.4723,16.7,0.2,-0.2,11.37,0.023,-0.023,14.9834,0.000523,-0.000523,7/12/21,2020-03,7/12/21
